Scientist,Institute,Country,Rank,Field
"Baylin, Stephen B.",The Sidney Kimmel Comprehensive Cancer Center,usa,363,Clinical Medicine
"Tefferi, Ayalew",Mayo Clinic,usa,364,Clinical Medicine
"Dickson, Dennis W.","Mayo Clinic in Jacksonville, Florida",usa,365,Clinical Medicine
"Walsh, Christopher T.",Stanford University,usa,366,Biomedical Research
"Friedman, Scott L.",Icahn School of Medicine at Mount Sinai,usa,367,Clinical Medicine
"Reddy, J. N.",Texas A&M University,usa,368,Engineering
"Mayer, Richard E.","University of California, Santa Barbara",usa,369,Social Sciences
"Caruso, Frank",University of Melbourne,aus,370,Enabling & Strategic Technologies
"Uversky, Vladimir N.",Morsani College of Medicine,usa,371,Biomedical Research
"Korsmeyer, Stanley",Dana-Farber Cancer Institute,usa,372,Clinical Medicine
"O'Neill, Luke A.J.",Trinity College Dublin,irl,373,Clinical Medicine
"Holst, Jens Juul",Faculty of Health and Medical Sciences,dnk,374,Clinical Medicine
"Hall, Alan",Memorial Sloan-Kettering Cancer Center,usa,375,Biomedical Research
"Kyle, Robert A.",Mayo Clinic,,376,Clinical Medicine
"Kishimoto, Tadamitsu","WPI Immunology Frontier Research Center, Osaka University",jpn,377,Clinical Medicine
"Ashby, Michael F.",University of Cambridge,gbr,378,Enabling & Strategic Technologies
"Tersoff, Jerry",IBM Thomas J. Watson Research Center,usa,379,Physics & Astronomy
"Hannon, Gregory J.",University of Cambridge,gbr,380,Biomedical Research
"Cooper, Cyrus",University of Southampton,gbr,381,Clinical Medicine
"Varki, Ajit",Department of Cellular & Molecular Medicine,usa,382,Biomedical Research
"Schwartz, Shalom S.H.",Hebrew University of Jerusalem,isr,383,Psychology & Cognitive Sciences
"Watson, David",University of Notre Dame,usa,384,Psychology & Cognitive Sciences
"Rothwell, P.",University of Oxford Medical Sciences Division,gbr,385,Clinical Medicine
"Drucker, Daniel J.",University of Toronto,can,386,Clinical Medicine
"Dunning, Thom H.",University of Washington,usa,387,Physics & Astronomy
"Bates, David W.",Harvard Medical School,usa,388,Clinical Medicine
"Cella, David",Northwestern University Feinberg School of Medicine,usa,389,Clinical Medicine
"Hughes, T. J.R.",The University of Texas at Austin,usa,390,Mathematics & Statistics
"Stern, Yaakov",Vagelos College of Physicians and Surgeons,usa,391,Clinical Medicine
"Faraone, Stephen",SUNY Upstate Medical University,usa,392,Clinical Medicine
"Hortobagyi, Gabriel N.",University of Texas MD Anderson Cancer Center,usa,393,Clinical Medicine
"Slovic, Paul",Decision Research,usa,394,Psychology & Cognitive Sciences
"Bl�chl, P. E.",Technische Universit�t Clausthal,deu,395,Physics & Astronomy
"Henikoff, Steven",Howard Hughes Medical Institute,usa,396,Biomedical Research
"Verkman, Alan S.","University of California, San Francisco",usa,397,Biomedical Research
"Aurbach, Doron",Bar-Ilan University,isr,398,Enabling & Strategic Technologies
"Insel, Thomas",Stanford University School of Medicine,usa,399,Clinical Medicine
"Caplan, A. I.",Case Western Reserve University,usa,400,Clinical Medicine
"Flory, Paul J.",IBM Research - Almaden,usa,401,Chemistry
"Bhushan, Bharat",The Ohio State University,usa,402,Physics & Astronomy
"Snaith, Henry J.",University of Oxford,gbr,403,Enabling & Strategic Technologies
"Mozaffarian, Dariush",Tufts University,usa,404,Clinical Medicine
"Packer, Milton",Baylor Jack and Jane Hamilton Heart and Vascular Hospital,usa,405,Clinical Medicine
"Carpenter, Stephen R.",University of Wisconsin-Madison,usa,406,Biology
"Katon, Wayne J.",University of Washington,usa,407,Clinical Medicine
"Kalluri, Raghu",University of Texas MD Anderson Cancer Center,usa,408,Clinical Medicine
"Antman, Elliott",Harvard Medical School,usa,409,Clinical Medicine
"Wishart, David",University of Alberta,can,410,Biomedical Research
"Van De Walle, Chris G.","University of California, Santa Barbara",usa,411,Physics & Astronomy
"Brus, Louis E.",Columbia University,usa,412,Physics & Astronomy
"Springel, Volker",Max Planck Institute for Astrophysics,deu,413,Physics & Astronomy
"Guarente, Leonard P.",Massachusetts Institute of Technology,usa,414,Biomedical Research
"Tracey, Kevin J.",Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,usa,415,Clinical Medicine
"Levy, Daniel","National Heart, Lung, and Blood Institute (NHLBI)",usa,416,Clinical Medicine
"F�rey, G�rard",Institut Universitaire de France,fra,417,Chemistry
"Jorm, Anthony F.",Melbourne School of Population and Global Health,aus,418,Clinical Medicine
"Steinberg, Laurence",Temple University,usa,419,Psychology & Cognitive Sciences
"Nicolaides, Kypros",King's College Hospital,gbr,420,Clinical Medicine
"Kleinberg, Jon",Cornell University,usa,421,Information & Communication Technologies
"Ho, Yuh Shan",Asia University,twn,422,Earth & Environmental Sciences
"Maier, Joachim",Max Planck Institute for Solid State Research,deu,423,Enabling & Strategic Technologies
"Despr�s, Jean Pierre","Universit� Laval, Facult� de m�decine",can,424,Clinical Medicine
"Nicolaou, K. C.",Rice University,usa,425,Chemistry
"Quigley, Harry A.",Wilmer Eye Institute,usa,426,Clinical Medicine
"Ruoff, Rodney S.",Ulsan National Institute of Science and Technology,kor,427,Enabling & Strategic Technologies
"Van Genuchten, Martinus Th",Universiteit Utrecht,nld,428,Engineering
"Yablonovitch, Eli",Department of Electrical Engineering and Computer Sciences,usa,429,Physics & Astronomy
"Choi, Dennis W.",Renaissance School of Medicine at Stony Brook University,usa,430,Clinical Medicine
"Sibai, Baha M.",University of Texas Medical School at Houston,usa,431,Clinical Medicine
"Antonietti, Markus",Max-Planck-Institut f�r Kolloid- und Grenzfl�chenforschung,deu,432,Chemistry
"Li, Chao Jun",Universit� McGill,can,433,Chemistry
"Kroenke, Kurt",Indiana University School of Medicine,usa,434,Clinical Medicine
"Kantarjian, Hagop",University of Texas MD Anderson Cancer Center,usa,435,Clinical Medicine
"Meaney, Michael J.","A-Star, Singapore Institute for Clinical Sciences",sgp,436,Clinical Medicine
"Prockop, D. J.",Tulane University Health Sciences Center,usa,437,Biomedical Research
"Dietz, William H.",Milken Institute School of Public Health,usa,438,Clinical Medicine
"Pentland, Alex",MIT Media Lab,usa,439,Information & Communication Technologies
"Epstein, Jonathan I.",Johns Hopkins Medical Institutions,usa,440,Clinical Medicine
"Bejan, A.",Duke University,usa,441,Engineering
"Peto, Richard",University of Oxford Medical Sciences Division,gbr,442,Clinical Medicine
"Beven, Keith",Lancaster Environment Centre,gbr,443,Engineering
"Kazdin, Alan E.",Yale University,usa,444,Psychology & Cognitive Sciences
"Linde, Andrei",Stanford University,usa,445,Physics & Astronomy
"Lieberman, Jeffrey A.",Columbia University Irving Medical Center,usa,446,Clinical Medicine
"Charney, Dennis S.",Icahn School of Medicine at Mount Sinai,usa,447,Clinical Medicine
"Kanatzidis, Mercouri G.",Northwestern University,usa,448,Chemistry
"Sachdev, Subir",Harvard University,usa,449,Physics & Astronomy
"Bredas, Jean Luc",The University of Arizona,usa,450,Physics & Astronomy
"Sheikholeslami, M.",Babol Noshirvani University of Technology,irn,451,Engineering
"Orkin, Stuart H.",Harvard Medical School,usa,452,Biomedical Research
"Binder, Kurt",Johannes Gutenberg-Universit�t Mainz,deu,453,Physics & Astronomy
"Hoffmann, Roald",Cornell University,usa,454,Chemistry
"Hennekens, Charles H.",Charles E. Schmidt College of Medicine,usa,455,Clinical Medicine
"Clapham, David E.",Harvard Medical School,usa,456,Biomedical Research
"Eddy, Sean R.",Howard Hughes Medical Institute,,457,Biomedical Research
"Vasan, Ramachandran S.",Boston University School of Medicine,usa,458,Clinical Medicine
"Pocock, Stuart J.",London School of Hygiene & Tropical Medicine,gbr,459,Clinical Medicine
"Elimelech, Menachem",Yale University,usa,460,Earth & Environmental Sciences
"Tuomilehto, Jaakko",King Abdulaziz University,sau,461,Clinical Medicine
"Campisi, Judith",Buck Institute for Age Research,usa,462,Biomedical Research
"Szabo, Csaba",Faculty of Science and Medicine,che,463,Clinical Medicine
"Duman, Ronald S.",Yale School of Medicine,usa,464,Clinical Medicine
"Beutler, Bruce",UT Southwestern Medical Center,usa,465,Clinical Medicine
"Pedersen, Bente K.",K�benhavns Universitet,dnk,466,Clinical Medicine
"Wittchen, Hans Ulrich",Technische Universit�t Dresden,deu,467,Clinical Medicine
"Hansson, G�ran K.",Karolinska Institutet,swe,468,Clinical Medicine
"Marks, Tobin J.",Northwestern University,usa,469,Chemistry
"Lipton, Stuart A.",Scripps Research Institute,usa,470,Clinical Medicine
"Goedert, Michel",The Medical Research Council Laboratory of Molecular Biology,gbr,471,Clinical Medicine
"Lindquist, Susan",Howard Hughes Medical Institute,usa,472,Biomedical Research
"Damasio, Antonio",University of Southern California,usa,473,Clinical Medicine
"Hawker, Craig J.","University of California, Santa Barbara",usa,474,Chemistry
"Porter, Michael E.",Harvard Business School,usa,475,Economics & Business
"Rayner, Keith","University of California, San Diego",usa,476,Psychology & Cognitive Sciences
"Williams, David R.",Harvard T.H. Chan School of Public Health,usa,477,Clinical Medicine
"Adolphs, Ralph",California Institute of Technology,usa,478,Clinical Medicine
"Livermore, David M.","University of East Anglia, Norwich Medical School",gbr,479,Biomedical Research
"Mannucci, Pier Mannuccio",Ospedale Maggiore Policlinico Milano,ita,480,Clinical Medicine
"Shannon, Robert D.",University of Colorado Boulder,usa,481,Chemistry
"Brownlee, Michael",Albert Einstein College of Medicine of Yeshiva University,usa,482,Clinical Medicine
"Cummings, Steven R.",California Pacific Medical Center,usa,483,Clinical Medicine
"Bakker, Arnold B.",Erasmus Universiteit Rotterdam,nld,484,Economics & Business
"Venkatesh, Viswanath","Virginia Tech, Pamplin College of Business",usa,485,Information & Communication Technologies
"Matthews, Brian W.",University of Oregon,usa,486,Biomedical Research
"Pawson, Tony",Mount Sinai Hospital of University of Toronto,can,487,Biomedical Research
"Belytschko, T.",Northwestern University,usa,488,Mathematics & Statistics
"Fersht, Alan R.",The Medical Research Council Laboratory of Molecular Biology,gbr,489,Biomedical Research
"Berner, Robert A.",Yale University,usa,490,Earth & Environmental Sciences
"Crutzen, P. J.",Max Planck Institute for Chemistry,deu,491,Earth & Environmental Sciences
"Liotta, Lance",George Mason University - Science and Technology Campus,usa,492,Clinical Medicine
"Heckman, James J.",The University of Chicago,,493,Economics & Business
"Higgins, E. Tory",Columbia University,usa,494,Psychology & Cognitive Sciences
"Kaufman, Randal J.",Sanford Burnham Prebys Medical Discovery Institute,usa,495,Biomedical Research
"Zhao, Dongyuan",Fudan University,chn,496,Enabling & Strategic Technologies
"Di Marzo, Vincenzo",Universit� Laval,can,497,Clinical Medicine
"La Vecchia, Carlo",Universit� degli Studi di Milano,ita,498,Clinical Medicine
"Furnham, A.",Handelsh�yskolen BI,nor,499,Psychology & Cognitive Sciences
"Califf, Robert",Verily Life Sciences LLC,usa,500,Clinical Medicine
"Goldberg, Alfred L.",Harvard Medical School,usa,501,Biomedical Research
"Herrmann, Wolfgang A.",Technical University of Munich,deu,502,Chemistry
"Blair, Steven N.",University of South Carolina,usa,503,Clinical Medicine
"Willner, Itamar",Hebrew University of Jerusalem,isr,504,Chemistry
"Barney, Jay Brian",The University of Utah,usa,505,Economics & Business
"Safe, Stephen",Texas A&M College of Veterinary Medicine & Biomedical Sciences,usa,506,Clinical Medicine
"Remuzzi, G.",Istituto di Ricerche Farmacologiche Mario Negri,ita,507,Clinical Medicine
"Goldsmith, Andrea",Princeton University,usa,508,Information & Communication Technologies
"Zunger, A.",University of Colorado Boulder,usa,509,Physics & Astronomy
"Goadsby, Peter J.",David Geffen School of Medicine at UCLA,usa,510,Clinical Medicine
"Yates, John R.",Scripps Research Institute,usa,511,Biomedical Research
"McCrae, Robert R.",University of Gloucester,usa,512,Psychology & Cognitive Sciences
"Kappe, C. Oliver","Universit�t Graz, Institut f�r Chemie",aut,513,Chemistry
"Yang, Xin she",Middlesex University,gbr,514,Information & Communication Technologies
"Zimmet, Paul","Faculty of Medicine, Nursing and Health Sciences",aus,515,Clinical Medicine
"Kimura, Motoo",National Institute of Genetics Mishima,jpn,516,Biomedical Research
"Fletcher, Christopher D.M.",Brigham and Women's Hospital,usa,517,Clinical Medicine
"Sternberg, Robert J.",Cornell University,usa,518,Psychology & Cognitive Sciences
"Hannun, Yusuf A.",Stony Brook University,usa,519,Biomedical Research
"Delmas, P.",Inserm,fra,520,Clinical Medicine
"Kaelin, William G.",Harvard Medical School,usa,521,Clinical Medicine
"Noyori, Ryoji",Nagoya University,jpn,522,Chemistry
"Fama, Eugene F.",The University of Chicago Booth School of Business,usa,523,Economics & Business
"Schrock, Richard R.",Massachusetts Institute of Technology,usa,524,Chemistry
"Salthouse, Timothy A.",University of Virginia,usa,525,Psychology & Cognitive Sciences
"Schmidhuber, J�rgen",IDSIA Dalle Molle Institute for Artificial Intelligence,che,526,Information & Communication Technologies
"Lieb, Elliott H.",Princeton University,usa,527,Physics & Astronomy
"Schapira, Anthony H.V.",UCL Queen Square Institute of Neurology,gbr,528,Clinical Medicine
"Shleifer, Andrei",Harvard University,usa,529,Economics & Business
"Warshel, Arieh",University of Southern California,usa,530,Biomedical Research
"Shine, Richard",Macquarie University,aus,531,Biology
"Scott, J. F.",University of St Andrews,gbr,532,Physics & Astronomy
"Harris, William H.",Massachusetts General Hospital,usa,533,Clinical Medicine
"Kouzarides, Tony",Wellcome Trust/ Cancer Research UK Gurdon Institute,gbr,534,Biomedical Research
"Aebersold, Ruedi",ETH Z�rich,che,535,Biomedical Research
"Shannon, Claude E.",Massachusetts Institute of Technology,usa,536,Information & Communication Technologies
"Mann, Stephen",University of Bristol,gbr,537,Enabling & Strategic Technologies
"Kollef, Marin H.",Washington University School of Medicine in St. Louis,usa,538,Clinical Medicine
"Lassmann, Hans",Zentrum f�r Hirnforschung Medizinische Universit�t Wien,aut,539,Clinical Medicine
"Laakso, Markku",It�-Suomen yliopisto,fin,540,Clinical Medicine
"Fisher, Bernard","NSABP Foundation, Inc.",usa,541,Clinical Medicine
"Wang, Lihong V.",California Institute of Technology,usa,542,Clinical Medicine
"Weissman, Myrna",Vagelos College of Physicians and Surgeons,usa,543,Clinical Medicine
"Haruta, Masatake",Tokyo Metropolitan University,jpn,544,Chemistry
"Duncan, John S.",UCL Queen Square Institute of Neurology,gbr,545,Clinical Medicine
"Chapin, F. Stuart",University of Alaska Fairbanks,usa,546,Biology
"McKenzie, Dan",Bullard Laboratories,gbr,547,Earth & Environmental Sciences
"Elledge, Stephen J.",Harvard Medical School,usa,548,Biomedical Research
"Devereux, Richard",Weill Cornell Medicine,usa,549,Clinical Medicine
"Strachan, David P.","St George�s, University of London",gbr,550,Clinical Medicine
"Nikaido, Hiroshi","University of California, Berkeley",usa,551,Biomedical Research
"Kivshar, Yuri S.",The Australian National University,aus,552,Physics & Astronomy
"Saper, Clifford B.",Harvard Medical School,usa,553,Clinical Medicine
"Shulman, Gerald I.",Yale School of Medicine,usa,554,Clinical Medicine
"Kobayashi, Shu",The University of Tokyo,jpn,555,Chemistry
"Camilleri, Michael","Clinical Enteric Neuroscience Translational and Epidemiological Research, Mayo Clinic",usa,556,Clinical Medicine
"Duarte, Carlos M.",King Abdullah University of Science and Technology,sau,557,Biology
"Heaney, Robert P.",Creighton University,usa,558,Clinical Medicine
"Mallat, St�phane",Coll�ge de France,fra,559,Information & Communication Technologies
"Emanuel, Kerry",Massachusetts Institute of Technology,usa,560,Earth & Environmental Sciences
"Edgar, Robert C.","GigaGen, Inc.",usa,561,Biomedical Research
"Kahn, C. Ronald",Harvard Medical School,usa,562,Biomedical Research
"van der Heijde, Desir�e",Leids Universitair Medisch Centrum,nld,563,Clinical Medicine
"Wilczek, Frank",Shanghai Jiao Tong University,chn,564,Physics & Astronomy
"Lynch, Michael",Arizona State University,usa,565,Biomedical Research
"Felsenstein, Joseph",University of Washington,usa,566,Biology
"Kalivas, Peter W.",Medical University of South Carolina,usa,567,Clinical Medicine
"Denning, David W.","Faculty of Biology, Medicine and Health",gbr,568,Biomedical Research
"Gelman, Andrew",Columbia University,usa,569,Mathematics & Statistics
"Folsom, Aaron R.",School of Public Health,usa,570,Clinical Medicine
"Loscalzo, Joseph",Brigham and Women's Hospital,usa,571,Clinical Medicine
"Dincer, Ibrahim",Ontario Tech University,can,572,Enabling & Strategic Technologies
"McGaugh, James L.","University of California, Irvine",usa,573,Clinical Medicine
"Weiner, Howard L.",Harvard Medical School,usa,574,Clinical Medicine
"Fredrickson, Barbara L.",The University of North Carolina at Chapel Hill,usa,575,Psychology & Cognitive Sciences
"Jack, Clifford R.",Mayo Clinic,usa,576,Clinical Medicine
"Seiberg, Nathan",Institute for Advanced Studies,usa,577,Physics & Astronomy
"Zahra, Shaker A.",Carlson School of Management,usa,578,Economics & Business
"Bagozzi, Richard P.",Stephen M. Ross School of Business,usa,579,Economics & Business
"Atkinson, Roger","University of California, Riverside",usa,580,Physics & Astronomy
"Caspi, Avshalom",Duke University,usa,581,Clinical Medicine
"Blackburn, Elizabeth H.","University of California, San Francisco",usa,582,Biomedical Research
"Rutgeerts, Paul",KU Leuven� University Hospital Leuven,bel,583,Clinical Medicine
"Bao, Zhenan",Stanford University,usa,584,Enabling & Strategic Technologies
"Iadecola, Costantino",Weill Cornell Medicine Feil Family Brain & Mind Research Institute,usa,585,Clinical Medicine
"Clutton-Brock, Tim H.",University of Cambridge,gbr,586,Biology
"Travis, William D.",Memorial Sloan-Kettering Cancer Center,,587,Clinical Medicine
"Kollman, Peter A.","University of California, San Francisco",usa,588,Chemistry
"Rogers, John A.",Northwestern University,usa,589,Enabling & Strategic Technologies
"Slatkin, Montgomery","University of California, Berkeley",usa,590,Biomedical Research
"Akagi, Hirofumi",Tokyo Institute of Technology,jpn,591,Engineering
"Heldin, Carl Henrik",Uppsala Universitet,swe,592,Biomedical Research
"Salzberg, Steven L.",Johns Hopkins University,usa,593,Biomedical Research
"Lewis, Nathan S.",California Institute of Technology,usa,594,Physics & Astronomy
"Eccles, Jacquelynne S.","University of California, Irvine",usa,595,Psychology & Cognitive Sciences
"Kupfer, David J.",University of Pittsburgh School of Medicine,usa,596,Clinical Medicine
"Stamatakis, Alexandros",Heidelberg Institute for Theoretical Studies (HITS GmbH),deu,597,Information & Communication Technologies
"Lande, Russell",Norges Teknisk-Naturvitenskapelige Universitet,nor,598,Biology
"Berridge, Kent C.","University of Michigan, Ann Arbor",usa,599,Clinical Medicine
"Levin, Simon A.",Princeton University,usa,600,Biology
"Ricklefs, Robert E.","University of Missouri-St. Louis, Department of Biology",usa,601,Biology
"Matsuzawa, Yuji",Sumitomo Hospital,jpn,602,Clinical Medicine
"Finkel, Toren",University of Pittsburgh Medical Center,usa,603,Biomedical Research
"Feringa, B. L.",Stratingh Institute for Chemistry,nld,604,Chemistry
"Stadtman, Earl R.","National Heart, Lung, and Blood Institute (NHLBI)",usa,605,Biomedical Research
"Barkley, Russell A.",VCU School of Medicine,usa,606,Clinical Medicine
"Schleyer, Paul Von R.",University of Georgia,usa,607,Chemistry
"Kuller, Lew",University of Pittsburgh,usa,608,Clinical Medicine
"Vane, John R.",Barts and The London School of Medicine and Dentistry,gbr,609,Clinical Medicine
"Rosendaal, Frits R.",Leids Universitair Medisch Centrum,nld,610,Clinical Medicine
"Grant, Bridget F.",National Institute on Alcohol Abuse and Alcoholism (NIAAA),usa,611,Public Health & Health Services
"Langmuir, Irving",GE Global Research,usa,612,Physics & Astronomy
"Barone, Vincenzo",Scuola Normale Superiore di Pisa,ita,613,Physics & Astronomy
"Palmiter, Richard D.",University of Washington,usa,614,Biomedical Research
"Webster, Robert G.",St. Jude Children's Research Hospital,usa,615,Biomedical Research
"Holsboer, Florian",Max Planck Institute of Psychiatry,deu,616,Clinical Medicine
"Lane, David P.","Agency for Science, Technology and Research, Singapore",sgp,617,Clinical Medicine
"Leung, Donald Y.M.",National Jewish Health,usa,618,Clinical Medicine
"Malenka, Robert",Stanford University School of Medicine,usa,619,Clinical Medicine
"Black, Robert E.",Johns Hopkins Bloomberg School of Public Health,usa,620,Clinical Medicine
"Coey, J. M.D.",Trinity College Dublin,irl,621,Physics & Astronomy
"Martin, Charles R.",University of Florida,usa,622,Enabling & Strategic Technologies
"Kawachi, Ichiro",Harvard T.H. Chan School of Public Health,usa,623,Clinical Medicine
"Stiglitz, Joseph E.",Columbia University,usa,624,Economics & Business
"L�scher, Thomas F.",Royal Brompton & Harefield NHS Foundation Trust,gbr,625,Clinical Medicine
"Werb, Zena","University of California, San Francisco",usa,626,Biomedical Research
"Thase, Michael E.",VA Medical Center,usa,627,Clinical Medicine
"Serruys, Patrick W.",University of Galway,irl,628,Clinical Medicine
"K�rner, Christian",Universitat Basel,che,629,Biology
"Cao, Jinde",Southeast University,chn,630,Information & Communication Technologies
"Anderson, Kenneth",Harvard Medical School,usa,631,Clinical Medicine
"Petri, Michelle",Johns Hopkins School of Medicine,usa,632,Clinical Medicine
"Shamir, Adi",Weizmann Institute of Science Israel,isr,633,Information & Communication Technologies
"Seligman, Martin E.P.",University of Pennsylvania,usa,634,Psychology & Cognitive Sciences
"Folke, Carl",Kungl. Vetenskapsakademien,swe,635,Biology
"Singer, Wolf",Max Planck Institute for Brain Research,deu,636,Clinical Medicine
"Brenner, Hermann",German Cancer Research Center,deu,637,Clinical Medicine
"Bouchard, Claude",Pennington Biomedical Research Center,usa,638,Clinical Medicine
"Blaabjerg, Frede",Aalborg University,dnk,639,Engineering
"Shahidi, Fereidoon",Memorial University of Newfoundland,can,640,"Agriculture, Fisheries & Forestry"
"Maes, Michael",Medical University of Plovdiv,bgr,641,Clinical Medicine
"Krieger, Nancy",Harvard T.H. Chan School of Public Health,usa,642,Public Health & Health Services
"Morris, Richard G.M.",Edinburgh Medical School,gbr,643,Clinical Medicine
"Ridley, Anne J.",University of Bristol,gbr,644,Biomedical Research
"CULLEN, BRYAN R.",Duke University Medical Center,usa,645,Biomedical Research
"Steptoe, Andrew",University College London,gbr,646,Clinical Medicine
"Lipton, Richard B.",Albert Einstein College of Medicine of Yeshiva University,usa,647,Clinical Medicine
"Posada, David",Universidade de Vigo,esp,648,Biology
"Pfurtscheller, Gert",Technische Universitat Graz,aut,649,Clinical Medicine
"Beutler, Ernest",Scripps Research Institute,usa,650,Clinical Medicine
"Simberloff, Daniel","The University of Tennessee, Knoxville",usa,651,Biology
"Breslau, N.",Michigan State University,usa,652,Clinical Medicine
"Hanski, Ilkka",Helsingin Yliopisto,fin,653,Biology
"Darnell, James E.",Rockefeller University,usa,654,Biomedical Research
"Wardle, David A.",Asian School of the Environment,sgp,655,Biology
"Cannon, Christopher P.",Harvard Medical School,usa,656,Clinical Medicine
"Fonarow, Gregg C.",David Geffen School of Medicine at UCLA,usa,657,Clinical Medicine
"Steriade, Mircea","Universit� Laval, Facult� de m�decine",can,658,Clinical Medicine
"Jordan, Michael I.","University of California, Berkeley",usa,659,Information & Communication Technologies
"Ransohoff, Richard R.",Third Rock Ventures,usa,660,Clinical Medicine
"Wazwaz, Abdul Majid",Saint Xavier University,usa,661,Mathematics & Statistics
"Wynn, Thomas A.",National Institute of Allergy and Infectious Diseases (NIAID),usa,662,Clinical Medicine
"Risch, Neil","University of California, San Francisco",usa,663,Biomedical Research
"Ignarro, Louis J.",David Geffen School of Medicine at UCLA,usa,664,Clinical Medicine
"Belsky, Jay","University of California, Davis",usa,665,Psychology & Cognitive Sciences
"Farrugia, Louis J.",University of Glasgow,gbr,666,Chemistry
"Mak, Tak W.",University of Toronto,can,667,Clinical Medicine
"Dill, Ken",Stony Brook University,usa,668,Physics & Astronomy
"Cacioppo, John T.",Center for Cognitive and Social Neuroscience,usa,669,Psychology & Cognitive Sciences
"Kaufmann, Stefan H.E.",Max Planck Institute for Infection Biology,deu,670,Clinical Medicine
"Bers, Donald M.","University of California, Davis",usa,671,Clinical Medicine
"Thun, Michael J.",American Cancer Society,usa,672,Clinical Medicine
"Hopfield, John",Princeton University,,673,Physics & Astronomy
"Pfeffer, Marc A.",Harvard Medical School,usa,674,Clinical Medicine
"Pui, Ching Hon",St. Jude Children's Research Hospital,usa,675,Clinical Medicine
"Scuseria, Gustavo E.",Rice University,usa,676,Physics & Astronomy
"Epstein, Franklin H.",Harvard Medical School,usa,677,Clinical Medicine
"Jones, Ronald N.",JMI Laboratories Incorporated,usa,678,Biomedical Research
"Portes, Alejandro",Princeton University,usa,679,Social Sciences
"Dai, Liming",UNSW Sydney,aus,680,Enabling & Strategic Technologies
"Seebach, Dieter",ETH Z�rich,che,681,Chemistry
"Smyth, Gordon K.",Walter and Eliza Hall Institute of Medical Research,aus,682,Biomedical Research
"Chance, Britton",University of Pennsylvania,usa,683,Biomedical Research
"Camerer, Colin F.",California Institute of Technology,usa,684,Economics & Business
"Marik, Paul E.",Front Line Critical Care Consortium (FLCCC.org),usa,685,Clinical Medicine
"Esmon, Charles T.",Oklahoma Medical Research Foundation,usa,686,Clinical Medicine
"Dzau, Victor J.",National Academy of Medicine,usa,687,Clinical Medicine
"Cuzick, Jack M.",Barts and The London School of Medicine and Dentistry,gbr,688,Clinical Medicine
"Massey, Douglas S.",Princeton University,usa,689,Social Sciences
"Maeda, Hiroshi",BioDynamics Research Foundation,jpn,690,Clinical Medicine
"Pearce, J. A.",Cardiff University,gbr,691,Earth & Environmental Sciences
"Loewenstein, George",Carnegie Mellon University,usa,692,Economics & Business
"Hell, Stefan W.",Max Planck Institute for Medical Research,deu,693,Physics & Astronomy
"Nolen-Hoeksema, Susan",Yale University,usa,694,Psychology & Cognitive Sciences
"Melzack, Ronald",Universit� McGill,can,695,Clinical Medicine
"Hashmi, A. Stephen K.",Universit�t Heidelberg,deu,696,Chemistry
"Maier, Stefan A.",Imperial College London,gbr,697,Enabling & Strategic Technologies
"Lanzavecchia, Antonio","Vir Biotechnology, Inc.",che,698,Clinical Medicine
"Fava, Maurizio",Harvard Medical School,usa,699,Clinical Medicine
"Llovet, Josep M.",Icahn School of Medicine at Mount Sinai,usa,700,Clinical Medicine
"Levine, Beth",UT Southwestern Medical Center,usa,701,Biomedical Research
"Glass, Christopher K.",Department of Cellular & Molecular Medicine,usa,702,Biomedical Research
"Bollen, Kenneth A.",The University of North Carolina at Chapel Hill,usa,703,Mathematics & Statistics
"Yki-J�rvinen, Hannele",Helsingin Yliopisto,fin,704,Clinical Medicine
"Bellomo, Rinaldo",University of Melbourne,aus,705,Clinical Medicine
"Jonas, Jost B.",Universit�t Heidelberg,deu,706,Clinical Medicine
"Starzl, Thomas E.",University of Pittsburgh Medical Center,usa,707,Clinical Medicine
"Kunkel, Thomas A.",National Institute of Environmental Health Sciences (NIEHS),usa,708,Biomedical Research
"Pumera, Martin",China Medical University Hospital,twn,709,Chemistry
"Li, Heng",Dana-Farber Cancer Institute,usa,710,Biomedical Research
"Eichenbaum, Howard",Stony Brook University,usa,711,Clinical Medicine
"Peng, Fang Z.",Florida State University,usa,712,Engineering
"Lakatta, Edward G.",National Institute on Aging (NIA),usa,713,Clinical Medicine
"Wise, Roy A.",Harvard University,usa,714,Clinical Medicine
"Cloninger, C. Robert",Washington University School of Medicine in St. Louis,usa,715,Clinical Medicine
"Boyd, Robert W.",University of Ottawa,can,716,Enabling & Strategic Technologies
"Feinberg, Andrew P.",Johns Hopkins School of Medicine,usa,717,Clinical Medicine
"Stamler, Jonathan S.",CASE School of Medicine,usa,718,Biomedical Research
"Butcher, Eugene C.",VA Palo Alto Health Care System,usa,719,Clinical Medicine
"Akyildiz, Ian F.",Truva Inc.,usa,720,Information & Communication Technologies
"Swanson, Larry W.",University of Southern California,usa,721,Clinical Medicine
"Krebs, Frederik C.",Elitescience,dnk,722,Physics & Astronomy
"Somorjai, Gabor A.",Lawrence Berkeley National Laboratory,usa,723,Physics & Astronomy
"Thrun, Sebastian",Stanford University,usa,724,Engineering
"Thomson, James",Morgridge Institute for Research,usa,725,Biomedical Research
"Pommier, Yves",National Cancer Institute (NCI),usa,726,Biomedical Research
